text_data,topic
"product 1 week from expiration. just 1/2 full of goo all stuck together. extremely old, probably 2 years, shipped a week from expiration by ""x brand"". terrible. one big mass half the size of the bottle all stuck together into one big gooey mass.when fresh these are excellent. unfortunately you cannot depend on ""x brand"" any more to ship you product that is fresh and well packed.",Texture
this is terrible. chalky texture and terrible taste.  used a shaker blender cup.  i tried it with both water and almond milk - same bad taste and chalky texture.attempted to return it...no returns???,Quality/Contaminated
"the value is great, an no bloat...but that taste!!!! blech!!!. i thought all of the other reviews about the taste were just a bunch of people whining because it doesn't taste like a chocolate bar or a dessert....boy, was i wrong! let me be clear...its not the worst tasting powder out there, its actually mildly sweet and not too artificial tasting. but it does have a weird smell to it and unless you are mixing it with frozen berries and other flavor enhancing items you will notice a not so good taste to it. just like other reviews have mentioned, it does clump...a lot...but thats the nature of casein proteins so you can't really complain about that i guess. i mix mine in a nutribullet with a bunch of other stuff to minimize the taste. i will say that where this powder gets my respect is in the fact that up until now it has never made me feel bloated or overly full like many other powders. even though i am rating it three stars i might just buy it again shockingly because it doesn't bloat me like all the other casein powders. in the end i am happy with the product but not ecstatic. maybe the three stars is a bit harsh now that i think about it, maybe its like 3 and 1/2 stars...but i simply can't give it a 4 star rating....oh well, sue me. lol.",Texture
"not good enough. i took these and became pregnant within a couple months. i have consistently been purchasing these at walmart for 8 months or so and just got my first bad bottle. the taste is normally sour and sugary and weird, but halfway through this bottle the vitamins just taste rotten somehow.also i'm anemic because there isn't any iron in them. i will be switching brands.",Texture
blah. i didn't like the face that mixing it is a must and the scoops required takee a large quantity of the product. not for me il stick with boost vhc,Bad Taste/Flavor
"not for me. got this recommendation off a youtube tutorial to put on hair for edges. for me, it was too sticky and never could quite get it out of my hair. always felt the sticky even after washing and drying my hair",Color and texture
do not buy seller would not replace. very sticky and wet ... all stuck together,Texture
"not for me. the flavor was not what i was expecting, didn’t taste citrusy, just bitter.",Bad Taste/Flavor
over priced. over priced for what you get.,Pricing
"beware - caused bad ibs symptoms for me. i am not a big product reviewer, but i felt others should be aware of my experience in case the same thing happens to them. i started taking this calcium supplement about a year ago when trader joe’s discontinued the ones i had taken for about a decade. i didn’t put two and two together for months, but these caused chronic diarrhea for me, which has never been an issue for me before. at first i attributed it a prescription, then stress, then thought maybe i had developed lactose intolerance. i tried eliminating wheat, then dairy, then tried the whole30 elimation diet- nothing helped.  i even got a celiac disease test and had my tsh levels checked in case those were the cause of the problem.  even my doctor ran out of ideas. then i noticed that whenever i travelled my symptoms would disappear, and started focusing on things that were different when i traveled. i don’t take my vitamins along and then also realized all the problems started when i switched calcium brands.  i stopped taking them and symptoms disappeared in 48 hours, after months of daily misery and way too much time wasted in the bathroom.  i don’t know what is in this supplement that’s causing the problem, but i have never had an issue with a vitamin before. you couldn’t pay me to take these again. i am steering clear of this brand now because i don’t trust their products anymore.",Allergic
"wrong product review don’t post!!. sorry, wrong product review!! don’t post!",Wrong Product received
"no bueno. it tastes like plastic, had to spit it out.",Bad Taste/Flavor
"too many cfu. didn’t work for me. for about two years i took a 20 billion cfu vitaminshoppe probiotic. after about a year my lactose intolerance went away. ran out of that brand and decided to buy this garden of life brand instead. i didn’t think going from 20 to 50 billion cfu would make a difference. took it for 5 days and developed horrible gas. stopped for a few days then re started taking it every other day. it’s been about 3 weeks and my lactose intolerance has returned with a vengeance and i’ve had nonstop digestive issues for the past 3 days. i can’t say conclusively that this probiotic is to blame, but i’m gonna stop taking it and go back to the 20 billion cfu. i read that taking too many probiotics can cause nausea and diarrhea, and 20 billion is a good daily intake.",Not Effective
"salmonella. i was on nothing but this shake for about 3 straight months and i started getting very sick. i got terrible stomach cramps and diarrhea and i got off the shake and was fine. i got back on it and same thing, only worse. i got a fever, and started getting muscle cramps in strange places like my thigh. i became very ill and even missed work. i looked up my symptoms and it appears to be salmonella poisoning. this company has had issues with that in the past apparently. i am a strict vegan, so to hear that i had salmonella was very upsetting. this was a few months ago, and to this day i still have strange cramps that never went away. i fear that i may have permanent damage.",Packaging
delivery is bad. like the product.  delivery was absolutely terrible.,Quality/Contaminated
"caused weight gain. i have used cellucor super hd for weight loss in the past and had great results and lost roughly 30 lbs in the time i took it. i thought i’d purchase cellucor super hd fire and give it a try since i loved the regular super hd. bad choice, i used it for 3 weeks and gained weight. yes i paired it with a caloric deficient diet and strenuous excercise 4-5 days a week and somehow gained weight. i bought two of the 4 week boxes because they were on sale for $10 each so i thought i was getting a steal. then i come to find out it’s no longer on the market. switched back to the regular super hd and am having great results after the first week and have lost all the weight gained from the super hd fire and am now back on track. i also had no additional energy, focus, or appetite control. i also restricted myself to not drink and additional caffeine other than preworkout. doesn’t work worth a damn. now i have an extra 4 week pack that i wasted money on.",Shipment and delivery
"the flavor is a big issue. i have the vanilla flavor, it’s not good at all! very sweet and synthetic flavor. im mixing it with fruits to make it taste better.it is recommended to add 6 scoops to get the serving size, ending up either too thick or a lot of shake. i usually use 2 scoops and its on the thicker side.however, this is huge bucket of powder! so its a great value for the money.",Bad Taste/Flavor
slice in bag epson salts everywhere - buyer beware. i ordered this product on prime pantry. when i received the box all the contents were covered in epson salts. there was a slit in the bag. when i tried to return the damaged bag it was not allowed. there is a no return policy. it was my first and now last prime pantry purchase. buyer beware,Packaging
"great mint flavor but wish they were more affective. i thought these oral biotics miggt work better than the brand we were using since these had more strains in them but they didn't seem to get rid of bad breath like the other brand. the mint flavor in these is nice and refreshing and they are easy to take. my 8 year old son on the specteum doesn't mind the flavor of these, sonetimes certain mints are way to over powering for him.",Quality/Contaminated
